system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching C:\Users\dberry\Source\Repos\paraDroid\x64\
display  D   display_settings.c:212  debug_display_settings           [   3.18086] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18089] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18091] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18092] Decoding visual no. 4...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18111] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18112] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18113] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18114] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18115] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18117] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18118] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18119] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18120] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18121] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18122] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18123] Decoding visual no. 5...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18138] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18139] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18140] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18141] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18142] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18143] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18146] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18147] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18148] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18149] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18150] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18151] Decoding visual no. 6...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18184] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18185] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18186] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18187] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18190] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18191] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18192] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18193] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18194] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18197] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18198] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18199] Decoding visual no. 7...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18213] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18214] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18215] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18216] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18217] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18218] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18219] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18221] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18222] color: 32 (rgba 8880), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18223] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18224] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18225] Decoding visual no. 8...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18238] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18240] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18241] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18242] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18243] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18244] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18245] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18246] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18247] color: 32 (rgba 8888), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18250] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18251] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18251] Decoding visual no. 9...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18269] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18270] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18271] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18272] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18273] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18274] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18275] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18277] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18278] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18279] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18280] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18281] Decoding visual no. 10...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18299] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18301] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18302] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18303] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18304] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18305] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18306] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18307] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18308] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18309] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18310] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18311] Decoding visual no. 11...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18332] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18333] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18334] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18335] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18336] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18338] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18339] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18340] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18341] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18342] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18343] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18344] Decoding visual no. 12...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18363] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18365] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18366] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18366] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18367] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18368] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18369] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18370] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18371] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18373] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18374] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18374] Decoding visual no. 13...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18393] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18398] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18400] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18401] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18402] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18403] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18404] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18405] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18405] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18407] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18408] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18409] Decoding visual no. 14...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18443] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18445] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18446] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18447] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18448] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18450] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18452] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18453] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18456] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18458] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18459] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18460] Decoding visual no. 15...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18490] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18492] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18493] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18495] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18496] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18497] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18498] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18499] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18500] color: 32 (rgba 8880), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18501] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18502] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18503] Decoding visual no. 16...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18522] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18523] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18526] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18528] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18529] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18530] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18531] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18532] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18533] color: 32 (rgba 8888), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18535] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18536] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18536] Decoding visual no. 17...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18552] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18553] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18554] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18555] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18556] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18557] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18558] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18560] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18561] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18563] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18563] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18564] Decoding visual no. 18...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18584] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18586] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18587] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18588] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18589] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18590] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18591] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18594] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18595] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18598] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18599] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18599] Decoding visual no. 19...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18621] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18622] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18623] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18624] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18625] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18626] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18627] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18628] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18630] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18631] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18632] Decoding visual no. 20...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18656] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18657] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18658] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18659] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18660] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18661] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18662] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18663] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18664] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18665] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18666] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18667] Decoding visual no. 21...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18689] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18690] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18692] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18693] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18694] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18695] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18696] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18697] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18698] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18699] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18700] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18701] Decoding visual no. 22...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18719] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18720] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18724] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18725] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18726] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18727] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18728] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18729] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18730] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18731] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18732] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18733] Decoding visual no. 23...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18746] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18747] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18748] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18749] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18751] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18752] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18753] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18754] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18755] color: 32 (rgba 8880), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18756] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18757] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18758] Decoding visual no. 24...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18770] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18771] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18772] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18773] Swap method: copy
display  I           wgl_disp.c:244  display_pixel_format             [   3.18775] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18776] Depth buffer: 0 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18777] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18778] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18779] color: 32 (rgba 8888), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18781] Score is : 2176
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18781] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18782] Decoding visual no. 25...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18798] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18800] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18801] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18802] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18803] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18804] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18805] Sample buffers: yes
display  I           wgl_disp.c:252  display_pixel_format             [   3.18806] Samples: 2
display  D   display_settings.c:212  debug_display_settings           [   3.18807] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   3.18809] Score is : 2005
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18810] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18813] Decoding visual no. 26...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18826] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18827] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18828] Single-buffer: no
display  I           wgl_disp.c:241  display_pixel_format             [   3.18829] Swap method: flip
display  I           wgl_disp.c:244  display_pixel_format             [   3.18831] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18832] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18833] Sample buffers: yes
display  I           wgl_disp.c:252  display_pixel_format             [   3.18834] Samples: 2
display  D   display_settings.c:212  debug_display_settings           [   3.18835] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 2/1
